,headlines,text,source,link
15001,India responds after Pakistan officials stop guests at Iftar party,"After Pakistan officials turned away guests who were invited at an Iftar party organised by the Indian High Commission in Islamabad, India called it a complete violation of diplomatic norms. ""The disappointing chain of events...are against all notions of civilised behaviour,"" the Indian High Commission in Islamabad said. Cars used by guests were lifted and removed using forklifts, it added.",Twitter,https://twitter.com/IndiainPakistan/status/1135133333279694848/photo/1?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1135133333279694848&utm_campaign=fullarticle&utm_medium=referral&ref_url=https%3A%2F%2Findianexpress.com%2Farticle%2Findia%2Fpakistani-officials-harass-guests-at-iftar-hosted-by-indian-high-commission-envoy-ajay-bisaria-5760868%2F&utm_source=inshorts
15003,"BJP mixing religion, politics through Jai Shri Ram slogan: Mamata","WB CM Mamata Banerjee today alleged BJP is mixing religion with politics by using the 'Jai Shri Ram' slogan. ""We don't respect this forcible enforcement of political slogans on others in the name of so called RSS which Bengal never accepted,"" she wrote. ""One can fool some people sometimes, but cannot fool all the people all the time,"" she added.",Facebook,https://www.facebook.com/MamataBanerjeeOfficial/photos/a.940147739385901/2496573840409942/?utm_campaign=fullarticle&theater=&utm_medium=referral&type=3&utm_source=inshorts
15004,IITian cheats hundreds with fake laptop scheme under PM's name,"Rakesh Jangid, a 23-year-old IIT postgraduate of 2019 batch, has been arrested for allegedly cheating people with a free laptop scheme through a fake website under PM Modi's name. The website was visited by 15 lakh people within two days. Jangid aimed to earn from advertisements on the website and collect personal data of people registering there and sell it.",Hindustan Times,https://www.hindustantimes.com/delhi-news/iit-graduate-held-for-luring-people-to-site-with-fake-govt-scheme/story-ROvlpPA2VaYFASgVGxgrfL.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15005,Madrassa teacher who sexually abused minors for 38 years arrested,"A 63-year-old madrassa teacher, who sexually abused several students in the past 38 years, was arrested in Kerala on Saturday after a complaint by a mosque committee. ""Yusuf confessed to raping kids since he was 25. A victim of sexual assault as a child, Yusuf took his revenge by raping the daughter of the man who raped him,"" police said.",The New Indian Express,http://www.newindianexpress.com/states/kerala/2019/jun/02/kochi-madrassa-teacher-who-abused-kids-for-38-years-held-1984843.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15007,Twitter apologises for suspending accounts critical of China,"Twitter apologised for suspending accounts critical of China days before the 30th anniversary of the country's crackdown on pro-democracy protests at the Tiananmen Square, Reuters reported. ""These accounts were not mass reported by the Chinese authorities  this was a routine action on our part,"" the company tweeted, adding, ""Sometimes our routine actions catch false positives or we make errors.""",Times Now,https://www.timesnownews.com/technology-science/article/twitter-apologises-for-suspending-accounts-critical-of-china/429894?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15008,'Anti-spam challenge' to 19 crore Twitter accounts in 2nd half of 2018,"Twitter issued anti-spam challenges to 19.35 crore accounts in 2018's second half, 17% lesser than first half, its transparency report stated. As part of 'anti-spam challenge', Twitter may require account holder to verify phone number or email address, or complete reCAPTCHA to verify human is controlling account. Accounts which fail to complete a challenge within specific period may be suspended.",Hindustan Times,https://www.hindustantimes.com/tech/twitter-asked-19-core-users-to-verify-accounts-in-h2-2018/story-5ik6orCaPjnaB44zl2PhoN.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15009,"Hindi not our mother tongue, do not enforce it: MNS","Protesting against the draft National Education Policy, Maharashtra NavNirman Sena (MNS) leader Anil Shidore on Sunday said, ""Hindi is not our mother tongue, do not enforce it on us and incite us."" The draft of New Education Policy prepared by the Kasturirangan Committee recommended the teaching of Hindi in non-Hindi speaking states in addition to the regional language and English.",Times Now,https://www.timesnownews.com/india/article/mns-opposes-new-national-education-policy-says-hindi-is-not-our-mother-tongue/430148?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15010,"GoI respects all languages, nothing will be imposed: Jaishankar","Minister of External Affairs S Jaishankar on Sunday said that Government of India (GoI) ""respects all languages"" and that ""no language will be imposed"". His comment came amid a raging controversy over the draft National Education Policy, which favours Hindi teaching compulsory up to Class 8. Jaishankar said that the draft will be finalised only after consulting the State Governments.",India.com,https://www.india.com/news/india/centre-respects-all-languages-nothing-will-be-imposed-s-jaishankar-amid-stir-over-three-language-system-3678329/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15012,My family was worried over our age gap: Milind's 26 yrs younger wife,"Speaking to 'Humans of Bombay', model-actor Milind Soman's wife Ankita Konwar revealed that when they decided to get married, her family was worried about the 26-year age gap between them. She added, ""It wasn't an issue for us!... When they...saw how happy I was around him, they agreed too!"" Milind and Ankita dated for 5 years before they got married.",Instagram,https://www.instagram.com/p/ByNRTr5BiKf/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15013,"Shakib fastest cricketer to reach 250 wickets and 5,000 runs in ODIs","Bangladesh all-rounder Shakib Al Hasan has become the fastest cricketer to reach 250 wickets and 5,000 runs in ODI cricket. The 32-year-old achieved the feat after taking his 250th wicket by dismissing South Africa opener Aiden Markram in Bangladesh's first 2019 World Cup match on Sunday. Shakib took 199 ODI matches to complete the double.",Cricket World Cup,https://www.cricketworldcup.com/match/8196?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
